Ticket Id,Project,Department code,Shared resource,Owner,Close date,Tech,Units,Cost,Subject,Question,Problem type,Tech note,Account
4416,,093305,Media Facility,chiappee,03-31-2008,hibbardk,3,58.50,3 trays of fly food vials,trays of fly food vials,Vials,,51609
4417,,093212,Media Facility,altmanj,03-31-2008,hibbardk,1,19.50,1 trays of fly food vials,trays of fly food vials,Vials,,51609
4418,,093408,Media Facility,hoy,03-31-2008,hibbardk,8,156.00,8 trays of fly food vials,trays of fly food vials,Vials,,51609
4419,,093400,Media Facility,zlaticm,03-31-2008,hibbardk,11,214.50,11 trays of fly food vials,trays of fly food vials,Vials,,51609
4420,,093302,Media Facility,mirthc,03-31-2008,hibbardk,4,38.00,4 trays of fly food bottles,trays of fly food bottles,Bottles,,51609
4422,,093404,Media Facility,liul,03-31-2008,hibbardk,2,19,2 trays of fly food bottles,trays of fly food bottles,Bottles,,51609
4424,,093408,Media Facility,hoy,03-31-2008,hibbardk,10,95.00,10 trays of fly food bottles,trays of fly food bottles,Bottles,,51609
4425,,093212,Media Facility,altmanj,03-31-2008,hibbardk,2,19.00,2 trays of fly food bottles,trays of fly food bottles,Bottles,,51609
4426,,093210,Media Facility,bilenj,03-31-2008,hibbardk,8,76.00,8 trays of fly food bottles,trays of fly food bottles,Bottles,,51609
4427,,093210,Fly Lab,simpsonj,03-31-2008,lavertyt,26,572,GSI screening charges,12 constructs with 2 lines each  2 constructs with 1 line each,Transgenic Services,,51608
4428,,093205,Fly Lab,ngot,04-01-2008,halld,22.5,866.25,Dissections,Dissected Rubin lines for the month of March,General Fly Sorting,,51608
4429,,093210,Instrument Development,simpsonj,04-08-2008,bassins,2,338,Modification of two part.,Modify one large and one small container and lids.  Put hole in the bottom and tops. Then glue mesh into place on the inside of top and bottom of containers. Drill 4mm hole in side.,Instrument Development,6.5 Hours @ $52 = $338  Material Cost = 0,51607
4430,,093204,Instrument Development,oconnord,05-29-2008,ahmedn,1,904.67,LED Driver box Qty 1,Need a LED driver box,Instrument Development,Received box from manufacturer.  Finished initial offset adjustments and calibration.  Delivered box to customer.    Box cost: $328.67  Cal time: Joanne (Technician) = 50$ (2 hrs  rate 25/hr)  Material Cost 70  8 hrs @ 57/hr = 456     Total May billing 904.67,51607
4431,,093207,Instrument Development,andrasfalvyb,05-29-2008,ahmedn,1,1353.34,LED driver box qty 2,Need two LED driver box,Instrument Development,Received box from manufacturer and calibrated.  Delivered it to customer.    Box (2) cost= 2x328.67$/box=$657.34  Joann time for calibration = 4hrx25$/hr=$100  Material cost = 140    8 hrs @ 57/hr = 456     Total May billing= 1353.34      ,51607
4432,,093210,Instrument Development,albins,04-04-2008,bassins,1,164,Design and 3D print a microscope stage adapter,Design and fab an adapter that will raise the dissection plate by 1/2"     See attached STL file for print job,Instrument Development,Fabrication completed.  2 Hours @ $52 = $104  Material Cost = $60  ,51607
4433,,093305,Instrument Development,jayaramanv,04-03-2008,bassins,6,172,3D print job for Larval Slide Holder,Please print THREE copies each of the attached STL files and let Vivek know when they're ready,Instrument Development,Fabrication Has been completed.  1 Hour @ $52 = $52  Material Cost = $120,51607
4435,,093213,Instrument Development,leonardoa,04-17-2008,bassins,3,645,6"sq x 2' Ht Salamander Behavior Box,Fabricate three Salamander Behavior Box with three different colors.  White  Gray  and Black.  Anthony wil provide a sketch for fabrication.,Instrument Development,Fabrication has been completed.  1.5 Hours @ $52 = $78  Material Cost = $567,51607
4436,,093305,Instrument Development,seeligj,04-03-2008,bassins,1,152,Please print attached STL files,Please 3D print fly holder designs ATTACHED.,Instrument Development,Fabrication has been completed.  1 Hour @$52 = $52  Material Cost = $100,51607
4437,,093209,Molecular Biology,tianl,04-02-2008,gallaghert,4,18.00,080402_Looger_Tian_mini_4,,Mini Preps,,51602
4438,,093209,Molecular Biology,mckinneys,04-04-2008,gallaghert,1,4.50,080402_Looger_McKinney_mini_1,,Mini Preps,,51602
4439,,093409,Molecular Biology,katuriv,04-04-2008,gallaghert,2,143.25,080402_Sudhof_Katuri_maxi_2,,Maxi Prep,maxi preps complete 2*60 = $120,51602
4440,,093209,Molecular Biology,viswanathans,04-02-2008,gallaghert,1,240.00,080402_Looger_Viswanathan_mini_96wellplate,,Mini Preps,,51602
4441,,093205,Fly Lab,ngot,04-02-2008,halld,100,200,mCD8 Crosses,Crossed 27 Rubin lines to mCD8 on 3/13/08  Crossed 33 Rubin lines to mCD8 on 3/20/08  Crossed 40 Rubin lines to mCD8 on 3/27/08,General Fly Sorting,,51608
4442,,093212,Fly Lab,trumanj,04-02-2008,halld,206,412,mCD8 Crosses,Crossed 5 Simpson lines and 1 Rubin line on 2/29/2008  Crossed 50 Rubin lines to mCD8 on 3/5-3/7/2008  Crossed 50 Rubin lines to mCD8 on 3/12-3/14/2008  Crossed 50 Rubin lines to mCD8 on 3/19-3/21/2008  Crossed 50 Rubin lines to mCD8 on 3/26-3/28/2008  ,General Fly Sorting,,51608
4443,,093309,Instrument Development,pengh,04-07-2008,bassins,3,213,Fabrcation of three parts.,3D Printing  One Fly Brain  One Skull  One Castle,Instrument Development,Fabrication has been completed.  1.5 Hour @ $52 = $78  Material Cost = $135,51607
4444,,093207,Cell Culture Facility,kimj,04-30-2008,winfreys,10,1760,April 2008 Cell Culture Service,,Cell Culture Facility,4/2  FC hippocampus neurons 2x plates of 3/11 and 2x plates of 3/21 with neuralbasal media and FC 4x plates of 3/28 with 10uM AraC+neuralbasal media (Arac 1:2000) for a final conc. in cultures of 5uM     4/4  FC hippocampus neurons 2x plates of 3/21 and 3x plates of 3/28 with neuralbasal media     4/8  FC hippocampus neurons 2x plates of 3/21 and 3x plates of 3/28 with neuralbasal media     4/11  FC hippocampus neurons 2x plates of 3/21 and 3x plates of 3/28 with neuralbasal media     4/15  FC hippocampus neurons 2x plates of 3/21 and 3x plates of 3/28 with neuralbasal media     4/17  Plate glass cover slips in 3x 6well plates (18 cover slips) and 4x 24well plate (1/2 plate) 48 cover slips and coat with 0.05mg/mL Poly-D-lysine and 0.005mg/mL Laminin (final conc.) plate in 37C incubator overnight    4/18  FC hippocampus neurons 2x plates of 3/21 and 3x plates of 3/28 with neuralbasal media     4/22  FC hippocampus neurons 3x plates of 3/28 with neuralbasal media and 2x plates of 4/18  with 1/2 media from untransfected neuron plate of 4/18 + 10uM AraC+neuralbasal media (Arac 1:2000) for a final conc. in cultures of 5uM and 3x plates of 4/18 10uM AraC+neuralbasal media (Arac 1:2000) for a final conc. in cultures of 5uM     4/24  Plate glass cover slips in 1x 6well plates (6 cover slips) and 2x 24well plate (1/2 plate) 24 cover slips and coat with 0.05mg/mL Poly-D-lysine and 0.005mg/mL Laminin (final conc.) plate in 37C incubator overnight     4/25  FC plates of 4/18 and 3/27 with neuralbasal media    4/29   FC 3x plates of 4/25 with 10uM AraC+neuralbasal media (Arac 1:2000) for a final conc. in cultures of 5uM and FC 5x plates of 4/18 with neural basal media      Materials Charge  Rat Neuron Nucleofector Kit 1@ $330.00  Amaxa SF kit 1@ $480.00  B27 3@$64 = $192  Neural basal media 3@$40 = $120  MEM 3@ $13 = $39,51604
4445,,093204,Instrument Development,huberd,04-03-2008,bassins,1,57,Cut bread board in half.,Cut bread board in half. Then grind  and sand smooth.  ,Instrument Development,Completed fabrication.  One hour @ $52 = $52  Material cost $5,51607
4446,,093209,Molecular Biology,mckinneys,04-03-2008,ramirezm,10,50,080331_Looger_McKinney_Sequencing_10,,Single Pass,,51602
4447,,093409,Molecular Biology,katuriv,04-03-2008,ramirezm,4,20,080402_Sudhof_Katuri_Sequencing_4,,Single Pass,,51602
4448,,093209,Molecular Biology,tianl,04-03-2008,ramirezm,4,20,080402_Looger_Tian_Sequencing_4,,Single Pass,,51602
4449,,093409,Molecular Biology,katuriv,04-03-2008,ramirezm,4,20,080402_Sudhof_Katuri_Sequencing_4,,Single Pass,,51602
4450,,093209,Molecular Biology,viswanathans,04-03-2008,ramirezm,96,480,080402_Looger_Viswanathan_Sequencing_96,,Single Pass,,51602
4451,,093209,Molecular Biology,mckinneys,04-04-2008,ramirezm,2,10,080403_Looger_McKinney_Sequencing_2,,Single Pass,,51602
4452,,093206,Instrument Development,apontey,04-03-2008,lottg,1,63,Test Plexon amp,help configure testing circuit for plexon amplifier and connect a test signal through the amplifier to spike hound for circuit verification.,Instrument Development,billing:    1 hour @ 63,51607
4453,,093209,Cell Culture Facility,mckinneys,04-30-2008,whiteh,5.5,330,APRIL 2008 cell culture service- McKinney,,Cell Culture Facility,transfect (amaxa) cells 4/2 and 4/10  maintain HeLa and PTK-1  total hrs billed for 4/2008: 5.5 ($330),51604
4455,,093209,Cell Culture Facility,tianl,04-30-2008,whiteh,7,420,APRIL 2008  cell culture service - Lin Tian,,Cell Culture Facility,4/2  T75 of 3/31 ~70%  s/c and set two T75's with 2.5E06 & 1.5E06   p40  4/7  pool cells from 2 T75's of 4/4(SW) ii:1E06 and 2E06 p41 ~50-85%         (cells used by SW for LT transfection and remaining cells used to          plate T75's   ii: 1E06  1.5E06  2E06  2.5E06  3E06  and 3.5E06   4/24 transfect 293 (lipofectamine) and plate 16 wells of 12w cellbind plate;          Prep solutions A and B: Solution A: 100ul media(Serum free)+10ul           DNA  Solution B: 100ul media(serum free)+ 4ul lipofectamine (inc RT           5 min; pool A and B- inc RT 20 mins; add dropwise to individual wells    <4/18-4/30  initiate  maintain  plate  pellet  freeze  low passage 293 from p38 amp>     Total hrs billed 4/2008: 7 ($420),51604
4456,,093202,Cell Culture Facility,murphyd,04-30-2008,whiteh,14,970,APRIL 2008  cell culture service - Alma and Zeiss,,Cell Culture Facility,4/1 for AA: pre-coat glass(4) and sapphire(1) with 10ug/ml Fibronectin  4/2 block cover slips with 1%BSA-DMEM.HG; amaxa and plate 4 glass         and one sapphire 4E05 HFF-1 + 1 ug tdEosVinc per cover slip          *T75 of 3/31 p30  4/3 for AA: from T75 of 3/31 p30 s/c HFF-1 for weekend: plate T75(2) with        7E03/cm2 and 8E03/cm2 p31  4/7 Thaw JFRC amp of HFF-1   4/9 pre-coat sapphire(1) with 10ug/ml Fibronectin  4/10 for AA amaxa and plate sapphire 5E05 HFF-1 + 1 ug tdEosVinc per shuttle per slip  4/16-4/23 maintain HFF-1 and CHO-K1; prep cover slips for Zeiss (Ingo)    Total hrs billed: 14 ($840)  Materials charges (amaxa reagent): $130,51604
4457,,093207,Instrument Development,andrasfalvyb,04-03-2008,bassins,1,57,Fabricated tool,Fabricated of one tool.,Instrument Development,Fabricating completed.  1 Hour @ $52 = $52  Material cost = $5,51607
4458,,093209,Cell Culture Facility,mckinneys,04-30-2008,winfreys,7,4055,April 2008 Cell Culture Service,,Cell Culture Facility,4/2  293: T75 of 3/31 p45 amaxa/plate 2x 35mm Matek plate with 4E05 live cells + 1ug plasmid/shuttle/well  plasmids BlueEOSCMV 0.48 ug/ul and EOSCMV 0.36ug/ul     4/14  HeLa: 10cm of 4/11 +7 amaza/plate 2 x 35mm sapphire (coated 4/11 with 10ug/mL with Fibronectin) with 3E05 live cells + 1ug plasmid/shuttle/well  plasmids EB3-m2 conc. 1.3ug/ul    4/17  HeLa: T75 of 4/11 +9 amaxa/plate 2 x 35mm Matex with 3E05 live cells + 1ug plasmid/shuttle/well  plasmids EB3-m2 conc.1.3ug/ul    4/29  Coat 3x sapphire cover slips with 10ug/mL of fibronectin overnight    4/30  HeLa: T75 of 4/23 +11 ~75%  amaxa and plate 3x 35mm sapphire plates with i:3E05 i:6E05 and i:1.2E06 live cells + 1 ug plasmid/shuttle/well plasmid mEOSA cx  1mg/ml    Materials Charge:  Sapphire Cover Slips  3 @ $360.00 =3 600.00  nucleofector SE kit  7 @ $5.00/well = $35.00,51604
4459,,093202,Cell Culture Facility,zhongh,04-30-2008,winfreys,9,900,April 2008 Cell Culture Service,,Cell Culture Facility,4/2  FC 2x plate hippocampus neurons of 3/(?) with neuralbasal media and FC 3x plates of 3/27 with 10uM AraC (1:2000 of 20mM stock) for a final conc. of 5uM in culture + Neuralbasal media     4/4  FC hippocampus neurons 2x of 3/(?) and 3x3/27 with neuralbasal media    4/8  FC hippocampus neurons 2x of 3/(?) and 3x3/27 with 10uM AraC (1:2000 of 20mM stock) for a final conc. of 5uM in culture + Neuralbasal media     4/11  FC hippocampus neurons 2x of 3/(?) and 3x3/27 with neuralbasal media    4/14  FC hippocampus neurons 2x of 3/(?) and 3x3/27 with 10uM AraC (1:2000 of 20mM stock) for a final conc. of 5uM in culture + Neuralbasal media     4/18  FC hippocampus neurons 2x of 3/(?) and 3x3/27 with neuralbasal media    4/22  FC 2x plate hippocampus neurons of 4/18 with 10uM AraC (1:2000 of 20mM stock) for a final conc. of 5uM in culture + Neuralbasal media     4/23  293: T75 of 4/18 p44 ~90% amaxa and plate 2x 35mm Matek plate with 4E05 live cells + 1ug plasmid/shuttle/well  plasmids H188 and H210    4/24  Plate glass cover slips in 1x 6well plates (6 cover slips) and coat with 0.05mg/mL Poly-D-lysine and 0.005mg/mL Laminin (final conc.) plate in 37C incubator overnight     4/25  FC hippocampus neurons 2x of 4/18 with neuralbasal media    4/29  FC 2x plates of 4/25 with 10uM AraC+neuralbasal media (Arac 1:2000) for a final conc. in cultures of 5uM and FC 2x plates of 4/18 with neural basal media       Materials Charge:  2 amaxa wells $5.00 ea = $10.00  B27 3@$64 = $192   Neural basal media 3@$40 = $120   MEM 3@ $13 = $39     ,51604
4460,,093206,Cell Culture Facility,leep,04-30-2008,winfreys,35,2260,April 2008 Cell Culture Service,,Cell Culture Facility,4/1  293: pool/ s/c T175 of 3/28 p45 ~70% and plate 3x 6well plates 4.5E05/well and 4x10cm dishes 3E06/plate    4/4  293: pool &s/c 2T175 of 3/31p45 ~75% and plate 2T175 i:3E06 and 1T225 i:3.85E06 for Monday and plate 2T175 i:2.23E06 and T225 2.9E06 for Tue    4/7  293 pool and s/c 2T175 of 4/4 p46 ~70% and plate 3x10cm i3E06 and 3xT25 (cellbind) i:1.5E06 and 3xT25 i:1.25E06 (to determine optimal cell density)   and set 2T175 i:2.25E06 p41 (of 4/4)    4/8  293 pool and s/c 2T175 ~75% and T225 ~65% of 4/4 p46 and plate 13x10cm i:3E06    4/11  293 pool and s/c 2T175 of 4/7 ~75% p41 and plate 2T175 i:3.2E06  3T175 i:2.2E06 and T75 i: 1E06 and i:2E06    4/14  293 pool and s/c 2T175 of 4/11p42 ~75% and plate 8x10cm 3E06/ea  review transfection protocol with PL    4/15  In am: 293plated 4/14  transfect with the following  For each 10cm plate; 500ul Opti-MEM + 10ug DNA + 30ul Fugene 6 incubate RT for 15minutes  add dropwise into plates and incubate 5 hours   The following: #of plates and Plasmid  2x Q139M+L270G (1 full 96 well plate)  1x GlyR L141F + L2715 (1/3 of 96 well plate)  2x GlyR Q139M + L2715 (1 full 96 well plate)  1x a75HTS L276A (1/3 of 96 well plate)  1x a75HTS L141F + L276A (1/3 of 96 well plate)  Havest after 5 hours: trypsin  pool  count and plate in black 96-well polylysine plate cells in range of 50-100k cells/well    4/18  293: pool and s/c 2T175 of 4/14 p43 ~70% and plate 3xT175 i3.3E06 for PL for Monday and 3T175 i:2.2E06    4/21  293: pool and s/c 3T175 of 4/18 p44 ~75% and plate 16x10cm i3E06     4/22  293: pool and s/c 3T175 of 4/18 p44 ~80% and plate 14x10cm i3E06   and 2T175 i:3.3E06    In am: 293plated 4/21  transfect with the following  For each 10cm plate; 500ul Opti-MEM + 10ug DNA + 30ul Fugene 6 incubate RT for 15minutes  add dropwise into plates and incubate 5 hours   The following: #of plates and Plasmid  2x a7GlyR Q139M Y210F (1 full 96 well plate)  2x a7GlyR Q139M Y115F (1 full 96well plate)  2x a75HT Q139M L276G (1 full 96 well plate)  2x a75HT Y210F Q139M (1 full 96well plate)  2x a75HT Y115F Q139M (1 full 96 well plate)  2x a75HT W777 Q139M  (1 full 96 well plate)  2x a7(hum) 5HT3a(Mus)- pCDNA3.1+  (1 full 96 well plate)  Havest after 5 hours: trypsin  pool  count and plate in black 96-well polylysine plate cells in range of 50-100k cells/well    4/23  In am: 293plated 4/22  transfect with the following  For each 10cm plate; 500ul Opti-MEM + 10ug DNA + 30ul Fugene 6 incubate RT for 15minutes  add dropwise into plates and incubate 5 hours   The following: #of plates and Plasmid  3x 27GlyR Q799 + Q139W(2 full 96 well plate)  3x  A7GlyR Q79RG + L141A (2 full 96well plate)  3x aGlyR Q79Q  Y1157  (2 full 96 well plate)  3x aGlyR Q79G Y210F (2 full 96well plate)  2x 27GlyR W77M (1 full 96 well plate)  Havest after 5 hours: trypsin  pool  count and plate in black 96-well polylysine plate cells in range of 50-100k cells/well    4/25  293 pool and s/c 2T175 of 4/22 p45 and plate 3T175 i:3.3E06 and 3T175 i:2.2E06    4/28  293 pool and s/c 3T175 of 4/25 p46 ~75% and plate 14x10cm 3E06/ea    4/29  In am: 293plated 4/28  transfect with the following   For each 10cm plate; 500ul Opti-MEM + 10ug DNA + 30ul Fugene 6 incubate RT for 15minutes  add dropwise into plates and incubate 5 hours   The following: #of plates and Plasmid   3x a75HT3 Q79G + Q139G (2 full 96 well plate)   3x a75HT3 Q79G + Y210F + Q139M (2 full 96 well plate)   2x a75HT3 Q79G + Y115F + Q139M (1 full 96 well plate)   3x a75HT3 Q79G + L276A (2 full 96well plate)   Havest after 5 hours: trypsin  pool  count and plate in black 96-well polylysine plate cells in range of 50-100k cells/well       Materials Charge  4 x 293 complete media @ $40.00/ea =$160.00  ,51604
4461,,093204,Cell Culture Facility,harveyc,04-30-2008,winfreys,9,580,April 2008 Cell Culture Service,,Cell Culture Facility,4/3  Instruction of prepping slice culture media for once a week prepping. Aliquot 5x 50mL and place on shelf in cold room.  for 250mL  200 mL MilliQ water  2.1g MEM  Hepes base  50 mL HI horse serum  1.25 L-glutamine  0.25 mL CaCl2  0.5mL MgSO4  0.58g D-glucose  0.11g NaHCO3  1.79g Hepes  12ul Ascorbic Acid  0.25mL Insulin    4/10  Prep SCM; pH 7.28 and Osmolarity 323    4/16  Prep SCM; pH 7.27 and Osmolarity 325    4/17  293: s/c 175 of 4/11 p43 ~80% amaxa and plate 4x35mm dishes with 4E05/shuttle/well with 500ng Plasmid in each well  also plate 4x35mm dishes with 4E05/shuttle/well with 1ug plasmid in each well. Plasmid is H171 2.4 ug/ul    4/18 prep 2% FBS in DMEM for complete FC/ serum starving plates from 4/17    4/23  Prep SCM; pH 7.3 and Osmolarity 321    4/30  Prep SCM; pH and osmolarity     Materials Charge:  SF nucleofector amaxa kit 8 x $5.00/well = $40.00,51604
4462,,093305,Instrument Development,seeligj,04-07-2008,bassins,2,130,Please print the attached STL files for fly holder and fly filter holder,Please print ONE of each of the attached STL files. These are UPDATED versions of the previous files.,Instrument Development,Fabrication has been completed.  1 Hour @ $52 = $52  Material Cost = $78,51607
4463,,093402,Instrument Development,vaziria,04-04-2008,bassins,3,104,Modification of three parts,Open slot up in round part on one side opposite of tap holes.  Was .196   Now .206.,Instrument Development,Modification of the slots are completed  2 Hours @ $52 = $104  Material Cost = 0,51607
4465,,093207,Molecular Biology,kimj,04-16-2008,gallaghert,1,179.75,080404_Magee_Kim_mini_1_maxi_1,,Mini Preps,Maxi prep is complete. =$60  Jinny has requested a confirmation digest of the maxi prep plasmid DNA.  3 reactions (1 double digest  2 single digest) = $4.00  Time = $18.75    Total to date = $97.00 + 82.75 = $179.75,51602
4466,,093101,Molecular Biology,guoc,04-07-2008,gallaghert,1,30.00,080404_Guo_Guo_midi_1,,Midi Preps,,51602
4467,,093209,Molecular Biology,viswanathans,04-04-2008,gallaghert,3,13.50,080404_Looger_Viswanathan_mini_3,,Mini Preps,,51602
4469,,093298,Instrument Development,bolorizadehm,06-02-2008,ahmedn,1,0,PMT Sensitivity Circuit,Create a custom PMT sensitivity circuit based on previous design made for the customer.,Instrument Development,Finished PCB board and box wiring.     8 hrs @ 57/hr = 456   ,51607
4470,,093204,Instrument Development,komiyamat,04-30-2008,wernerc,1,57,Please fabricate 5 each of the attached design files,Please make 5 each of the attached files for molding Kwik Silicone parts,Instrument Development,Received quote from Ronal $1500 total for all parts. Delivery 2 weeks,51607
4471,,093413,Instrument Development,luz,04-04-2008,bassins,1,52,Fabricate 5 sample holders,Cut and sand sample cup holders out of a molded sample holder,Instrument Development,1 labor hour = $52  Job complete,51607
4472,,093409,Molecular Biology,katuriv,04-04-2008,ramirezm,4,20,080403_Sudhof_Katuri_Sequencing_4,,Single Pass,,51602
4480,,093209,Molecular Biology,viswanathans,04-07-2008,ramirezm,36,162,080407_Looger_Viswanathan_mini_37,,Mini Preps,,51602
4481,,093209,Molecular Biology,viswanathans,04-08-2008,gallaghert,36,180.00,080407_Looger_Viswanathan_seq_37,,Single Pass,,51602
4482,,093305,Instrument Development,seeligj,04-09-2008,bassins,2,177,3D printed parts,Fabricate one of each.,Instrument Development,Fabrication has been completed.  1 hour @ $52 = $52  Material Cost = $125,51607
4483,,093303,Instrument Development,reiserm,04-10-2008,osbornej,1,280,Thermal Boundry for 4 inch TEM Array,Fabricate one assembly using .125 in THK 6061 AL sheet    Possibly make a second assembly if time is not an issue,Instrument Development,Fabrication complete  5 hours @ $52 hr= $260  Material cost=$20    Only made one assembly,51607
4485,,093207,Molecular Biology,kimj,05-22-2008,gallaghert,2,1116.50,pAAV-6P-SEWB clones,,Vector Construction,,51602
4487,,093207,Instrument Development,andrasfalvyb,05-13-2008,lottg,1,0,Interface Q-imaging camera for TTL triggering of frames,Order a 6-pin DIN connector from digikey: 275-1031-ND    Connect power  TTL  and ground to a connector that can receive a TTL pulse for triggering individual frames from the Q-imaging camera.,Instrument Development,,51607
4488,,093305,Instrument Development,seeligj,04-16-2008,osbornej,1,104,Modify Breadboard and legs,Modify breadboard and legs,Instrument Development,Modification complete  2 hours @ $52 hour=$104,51607
4489,,093306,Instrument Development,shustermanr,04-09-2008,bassins,30,82,3D Printing,Fabricate thirty head caps.,Instrument Development,Fabrication has been completed.  1 Hour @ $52 = $52  Material Cost = $30  ,51607
4490,,093298,Instrument Development,shtengelg,04-28-2008,osbornej,1,52,Plate Sample Holder Dual Piezo 3PPI-107-001 rev1,Fabricate one plate from Invar 36,Instrument Development,Fabrication complete  1 HHMI labor hour=$52,51607
4491,,093298,Instrument Development,shtengelg,05-09-2008,osbornej,1,52,Plate 22mm Dia Sample Mount Interface Dual Piezo 3PPI-107-002 rev1,Fabricate one pc from Invar 36,Instrument Development,Fabrication complete  1 HHMI labor hour @ $52,51607
4492,,093298,Instrument Development,shtengelg,04-28-2008,osbornej,2,52,Receptacle Dowel Pin 3PPI-107-003 rev1,Fabricate two pcs from Invar 36,Instrument Development,Fabrication complete  1 HHMI labor hour=$52,51607
4493,,093298,Instrument Development,shtengelg,04-28-2008,osbornej,1,52,Block Reference Mount 3PPI-112-001 rev3,Fabricate one pc from Invar 36,Instrument Development,Fabrication complete  1 HHMI labor hour=$52,51607
4494,,093298,Instrument Development,shtengelg,05-09-2008,osbornej,1,52,Plate Nudger,Fabricate one pc from 400 series SS,Instrument Development,Fabrication complete  1 HHMI labor hour@ $52,51607
4495,,093298,Instrument Development,shtengelg,05-09-2008,osbornej,2,52,Dowel Pin Modified 3PPI-140-003 rev1,Fabricate two pcs from 400 series SS,Instrument Development,Fabrication complete  1 HHMI labor hour @ $52,51607
4496,,093210,Light Microscopy,chungp,04-08-2008,arnolda,1.5,67.5,Help imaging endogenously expressing Drosophila brains,Brainbow project,Light Microscopy,1.5 hrs of assited time on Zeiss lsm 510 @ $45/hr = $67.5,51606
4497,,093206,Light Microscopy,atasoyd,04-08-2008,arnolda,1.5,67.5,Help imaging Mcherry labeled brain slices,confocal,Light Microscopy,1.5 hrs of assited time @ $45 = $67.5,51606
4498,,093302,Light Microscopy,mirthc,04-08-2008,arnolda,3,135,Training on Zeiss LSM 510,confocal,Light Microscopy,Zeiss confocal training 3 hrs @ $45/hr = $135,51606
4499,,093204,Light Microscopy,satot,04-08-2008,arnolda,3,135,Imaging of GFP and BF samples on zeiss axioimager,tiling,Light Microscopy,4/7  1 hrs @ $45/hr= $45  4/8  2hrs @$45/hr = $90  ,51606
4500,,093204,Light Microscopy,komiyamat,04-16-2008,arnolda,8.5,382.5,Imaging of brain slices (GFP and Nissl Farred),tiling on axioimager,Light Microscopy,troubleshooting of nissl farred and GFP slides:  imaging of 2 slides prior to determening problem: 30min @ $45/hr = $22.5  troubleshooting on zeiss axioimager and zeiss confocal 2 hrs @ $45/hr = $90    Imaging of GFP and Nissl red section with plan_neo 5x objective after troubleshooting staining and focus  4/10  1 hr @ $45/hr = $45  4/11  1hr @45/hr = $45  4/14   1hr @ $45/hr = 45  4/15   3 hrs @ $45/hr = $135    total = $382.5  ,51606
4501,,093209,Molecular Biology,tianl,04-09-2008,zhangx,16,72,080408_Looger_Tian_RCA_16,,Mini Preps,,51602
4502,,093209,Molecular Biology,tianl,04-09-2008,zhangx,28,140,080408_Looger_Tian_RCA-Sequencing_24,,Single Pass,,51602
4503,,093409,Molecular Biology,katuriv,04-09-2008,gallaghert,4,20.00,080408_Sudhof_Katuri_seq_4,,Single Pass,,51602
4504,,093205,Molecular Biology,pfeifferb,04-09-2008,gallaghert,8,40.00,080408_Rubin_Pfeiffer_seq_8,,Single Pass,,51602
4505,,093306,Instrument Development,rinbergd,10-15-2008,osbornej,1,228,Fabricate a microscope enclosure similar to what was done before,We made an ITEM frame and aluminum panel enclosure for one of DIma's breadboard tables before. This time the needs are a bit different. Please see Dan F. and Dima for details. This ticket is associated to ticket 3707,Instrument Development,Fabrication complete and delivered  install and fabricate holes= 4 hours @ $57,51607
4507,,093209,Media Facility,akerboomj,04-20-2008,lavertyt,6,144,6 sleeves of kanamycin plates for loogerlab,,Kanamycin ,,51609
4508,,093209,Media Facility,akerboomj,04-20-2008,lavertyt,6,144,6 sleeves of ampycillin plates for loogerlab,,Ampicillin,,51609
4509,,093209,Media Facility,akerboomj,04-20-2008,lavertyt,7,168,6 sleeves of AMP-Chlor plates for loogerlab,Hey Rodney  this is the last of the three  I will email you too.  I hope you can bill us directly in this way that is less work for you too.    Thanks a lot man      J,Amp-Chlor,,51609
4510,,093209,Molecular Biology,viswanathans,04-09-2008,gallaghert,12,60.00,080408_Looger_Viswanathan_seq_12,,Single Pass,,51602
4511,,093205,Molecular Biology,pfeifferb,04-10-2008,gallaghert,12,60.00,080409_Rubin_Pfeiffer_seq_12,,Single Pass,,51602
4512,,093306,Instrument Development,rinbergd,07-09-2008,osbornej,10+,104,Micro Liner Drive,Fabricate 10+ micro liner drives.This time use 000-120 tap hole in the slide face for electrode attachment.,Instrument Development,Micro linear drives are complete and have been delivered  2 hours charged for July $104,51607
4513,,093204,Instrument Development,oconnord,04-09-2008,lottg,1,174,Purchase Stock Lens,M1614-MP  Computar Megapixel 16mm Lens - $110  EX2C - 2x Extender - $64,Instrument Development,,51607
4514,,093209,Molecular Biology,mckinneys,04-11-2008,gallaghert,88,440.00,080409_Looger_McKinney_seq_88,,Single Pass,,51602
4516,,093209,Molecular Biology,mckinneys,04-10-2008,ramirezm,87,270.95,080409_Looger_McKinney_midi_1_mini_4_mini_82,,Mini Preps,,51602
4517,,093207,Molecular Biology,kimj,04-09-2008,ramirezm,3,349,080407_Magee_Kim_EFmega_3,Transform and isolate plasmids - EFmega,Endo Free Mega Prep,,51602
4518,,093298,Instrument Development,hessh,04-21-2008,osbornej,1,52,Fabricate a plate for SEM Ellipsoidal mirror assembly,Please fabricate (1) part per drawing supplied.  By agreement - material will be 6061-T6 aluminum and the part will be Yellow Chromated (Iridited) Class 3. Drawing updated by CWerner w/HHess approval.,Instrument Development,Fabrication complete    HHMI labor hours=1 hour @ $52,51607
